id,name,title,credits,description,parent_id,left,right
38,ISAT 211," Modern Production Issues in Science & Technology (2, 2)",3,"This course introduces the structure and function of a manufacturing enterprise and product design and process selection with emphasis on computer-based automation and integration technologies. Total Quality Management (TQM), statistical process control, principles of engineering drawings, and engineering economy will also be covered. ",3,10,11
39,ISAT 212," Energy Issues in Science and Technology (2, 2)",3,"Introduction to scientific and economic concepts relevant to energy. Concepts are taught within the context of three or four themes, e.g., residential energy efficiency, renewable energy sources, äóìmake-or-buyäóù fossil energy application and space power systems. Themes may change from year to year reflecting contemporary issues and opportunities to link with industry and government agencies. ",3,12,13
40,ISAT 215," Issues in Telecommunications, Network and Security",3,"This course introduces Telecom, Networking & Security concepts. Students learn how networked applications and services are designed, implemented and secured using wireless and wireline networks, network services and protocols. Examples of topics are Virtualization, Internet, Intrusion Detection & Prevention, Wireless Ethical Hacking, and Web Apps & Services. The course includes a lab component focusing on hands-on integration and troubleshooting of networked apps, network security methods and services.",21,249,250
41,ISAT 231, Political Economy of Technology and Science,3,"Solutions to human problems are mediated by economic and political institutions, which in turn help to shape technology and science. The course covers basic political and economic concepts, institutions and processes as they relate to American and international science and technology.",5,32,33
42,ISAT 251, Topics in Applied Statistics in ISAT,3,"This course introduces statistical thinking - the discipline and methods for collecting, analyzing and interpreting data for making decisions, doing science and understanding our world. Topics covered include an introduction to data analysis methods, probability and chance, statistical reasoning and inference, and experimental design. The course includes a laboratory component emphasizing hands-on analysis of data taken from a variety of applications in ISAT. May be used for general education credit. ",4,20,21
43,ISAT 252," Programming and Problem Solving (2, 2)",3,"Introduction to computational thinking and formal logic. Students create software to solve problems in applied science, business, and engineering taking social context into account. Programming paradigms include procedural, object-oriented, event-driven, and declarative. Emphasis is placed on effective analysis, planning, documentation, communication, and teamwork in professional software development settings. ",4,22,23
44,ISAT 252K, Programming and Problem Solving: Knowledge Based Systems,1,"Introduction to computational thinking and formal logic. Students create software to solve problems in applied science, business, and engineering taking social context into account. The declarative programming paradigm is covered. Emphasis is placed on effective analysis, planning, documentation, communication, and teamwork in professional software development settings.",21,229,230
45,ISAT 253," Instrumentation and Measurement in ISAT (2, 2)",3,"Fundamental nature of measurement in the practice of science, how and why measurements are taken and representative instrumentation. Data collection in science (measuring physical properties and biometrics), statistical tools for analyzing data and visualization of data. ",4,24,25
46,ISAT 280, Projects in Integrated Science and Technology,"""1-4""","Projects or special topics in integrated science and technology, which are of interest to the lower division student. May be repeated for credit when course content changes. Projects or topics selected may dictate prerequisites. Students should consult the instructor prior to enrolling for the course. ",21,231,232
47,ISAT 301," Instrumentation and Measurement in Energy (0, 2)",1,"Instrumentation is used to acquire data from representative systems that include mechanical, thermal, solar, chemical and nuclear energy. Students analyze the data to enhance understanding of these forms of energy. Energy transport processes are also characterized. Computer-based data acquisition is emphasized. ",7,48,49
48,ISAT 302," Instrumentation and Measurement of the Environment (0, 2)",1,"Traditional and contemporary analytical laboratory and field techniques used in environmental quality monitoring are surveyed. Emphasis is placed on understanding the physical, chemical and biological basis of these techniques. Hands-on laboratory and field work will be emphasized, in addition to quality control/assurance of environmental data.",12,64,65
49,ISAT 303," Instrumentation and Measurement in Engineering and Manufacturing (0, 2)",1,"Instrumentation is used to acquire data from representative systems that are relevant to modern manufacturing processes. Process control instrumentation is also studied. Topics include shop floor data collection, electronic sensors and actuators, pneumatics and hydraulics. Computer-based data acquisition is emphasized. ",11,58,59
50,ISAT 305," Instrumentation and Measurement in Biotechnology (0, 2)",1,"This course provides a hands-on experience of the techniques and instrumentation used in the modern biotechnology laboratory. Topics include aseptic techniques for establishing microbial cultures, detection and analysis of recombinant DNA molecules, protein purification, SDS gel electrophoresis and the use of PCR technology for genetic analysis.",8,42,43
51,ISAT 306, Instrumentation and Measurements in Data Communications and Networking,1,"This is an introductory course on hands-on performance measurements of data, computer and telecommunications channel transmission techniques. The course includes a set of lab experiments focusing on the physical and data link layers of data communications and telecommunications networks. ",10,74,75
52,ISAT 310, Energy Fundamentals I,3,"This course covers the integration of fundamental concepts from physics, chemistry, mathematics and engineering within the context of energy applications. Principles governing energy transformations, transport and conversion, including laws of thermodynamics, chemical and nuclear reactions and thermal science. ",7,46,47
53,ISAT 311, Role of Energy in Modern Society,3,"This course covers the role of energy in the U.S. and world economies. Geology of energy-valued natural resources: size, quality and economics of domestic and world resource base. Models for energy use by different sectors. The role of energy in global climate change; other energy-related environmental concerns; and the implications for national and international security will be studied. ",7,50,51
54,ISAT 320, Fundamentals of Environmental Science and Technology I,3,"This course provides the student with a basic understanding of environmental pollution, processes and control technologies. The course begins with a review and extension of the basic sciences supporting environmental science. Water and wastewater quality, management and treatment are then addressed, culminating in independent team projects in this area. ",12,62,63
55,ISAT 321, Fundamentals of Environmental Science and Technology II,3,"This course continues to build on the student's basic understanding of environmental pollution, processes and control technologies. The course considers solid and hazardous waste and its management, discusses the principles of environmental risk assessment, and addresses air quality analysis and management, culminating in independent team projects in this area. ",12,66,67
56,ISAT 330, Manufacturing Systems: Techniques and Technologies,3,"The course will introduce students to the various manufacturing systems within a manufacturing organization. The systems studied will be selected from the following areas: (a) manufacturing/production management batch and continuous (b) resources utilization, (c) material management, and (d) scheduling and inventory control. ",11,54,55
57,ISAT 331, Automation in Manufacturing,3,"This course offers an in-depth treatment of the structure and function of computer integrated manufacturing processes; integration and automation in design and manufacturing; product and process design, computer-aided design and computer-aided manufacturing, process planning, robotics and flexible manufacturing systems; production planning and product data management.Œæ ",11,56,57
58,ISAT 340, Software Development,3,"This course is an introduction to the processes, methods and techniques of efficient and effective software application development. Students will create or enhance software systems in a sophisticated development environment. ",9,70,71
59,ISAT 341, Modeling and Simulation,3,"The development and use of models to understand, analyze and improve systems in several areas of science and technology. Students will use computer simulation in a variety of modeling projects. ",9,72,73
60,ISAT/CS 344, Intelligent Systems,3,"In-depth introduction to current and future intelligent systems, including expert systems, neural networks, hybrid intelligent systems and other intelligent system technologies and their development, uses and limitations. ",16,172,173
61,ISAT/CS 344, Intelligent Systems,3,"In-depth introduction to current and future intelligent systems, including expert systems, neural networks, hybrid intelligent systems and other intelligent system technologies and their development, uses and limitations. ",18,130,131
62,ISAT 345, The Software Industry,3,"Study of means for the development and maintenance of high quality software products delivered on time and within budget. Topics include requirements analysis and specification, software design, implementation, testing, maintenance, project management, ethics and the responsibilities of software engineering professionals. ",16,132,133
63,ISAT 345, The Software Industry,3,"Study of means for the development and maintenance of high quality software products delivered on time and within budget. Topics include requirements analysis and specification, software design, implementation, testing, maintenance, project management, ethics and the responsibilities of software engineering professionals. ",18,176,177
64,ISAT 348, The Multimedia Industry,3,"Students are introduced to a variety of tools for viewing multimedia and to the issues in designing effective human-computer interactions. This includes an introduction to the many forms of media that occur in computing systems (text, graphics, images, sound, animation) and to the characteristics of well-produced media. ",16,174,175
65,ISAT 350, Biotechnology for the New Millennium I,3,This course covers the scientific foundations and historical development of biotechnology. Specific topics include living system nanotechnology; cell structure and function; origins of genetic engineering; and recombinant DNA technology. ,8,38,39
66,ISAT 351, Biotechnology for the New Millennium II,3,"This course is a continuation of ISAT 350 and describes applications of biotechnology in agriculture, industry and medical science as well as associated social, ethical and philosophical issues. Topics include study of an emerging infectious disease; energy transduction in living systems; and novel applications of biotechnology. ",8,40,41
67,ISAT 360, Introduction to Networking and Security,3,"This course focuses on the underlying principles of networking and how these principles are utilized to provide efficient and secure networks in support of voice, data, video and mobility services and applications. Emphasis is also placed on understanding the network standards and protocols, network architectures, network security, network analysis/trouble shooting and network management issues and resolution/mitigation strategies. The course has a technology (hands-on) focus. ",10,76,77
68,ISAT 361, Fundamentals of Data Communications and Networking II,3,"The course is an introduction to data communications, telecommunications and networking. The focus is on the physical and data link layers. At the physical layer, it includes network models, data and signal rates, digital and analog transmission (modulations), bandwidth utilization (multiplexing), switching (circuit, packet). At the data link layer, it includes error detection and correction, multiple access methods, LANs (wired, wireless, connecting), WANs (SONET, ATM, cellular, satellite). ",10,78,79
69,ISAT 401, Advanced Computer-Based Instrumentation I,3,This is largely a laboratory course in which students build and program their own instruments. Topics include programming techniques for real-time instrumentation programming; buffered analog and digital input and output; timing considerations; passive analog filters and active analog filters; digital-filtering techniques; and real-time programming issues. ,21,233,234
70,ISAT 402, Advanced Computer-Based Instrumentation II,3,"Students design and build their own instruments. Topics include representative sensor techniques as applied to physical, chemical and biological systems as well as basic and advanced circuits for signal manipulation: buffers, amplifiers and active and passive filters. An instrument design project is the capstone of the course. ",21,235,236
71,ISAT 406, Transmission Electron Microscopy,3,"This practical laboratory course provides hands-on experience in the preparation and examination of biological specimens with the transmission electron microscope. Techniques to be mastered include support film preparation for negative staining of bacteria and viruses, fixation, embedding, and thin sectioning of tissues, electron optical alignment and microscope operation. ",21,237,238
72,ISAT 410, Sustainable Energy Development,3,"This course is concerned with science and the applications of solar and other renewable technologies, e.g., solar thermal electric, photovoltaics, wind power, biomass-derived alcohols, solar hydrogen and ocean thermal energy conversion Energy storage systems and materials, combined renewable-conventional systems for peaking and load management and alternative energy sources for transportation will be studied. ",14,106,107
73,ISAT 411, Energy Economics and Policy,3,"This course is concerned with methods for analyzing the economics, environmental and societal benefits of energy technologies. Topics include optimization techniques, utility planning and finance, cost-benefit techniques, discounting for time and risk, econometric models and input-output analysis. The role of government in determining energy costs supply and markets will be considered. ",14,102,103
74,ISAT 412, Dynamic Control of Energy Systems,3,This course considers methods for developing dynamic models of energy processes and technologies to achieve improved process control and increased efficiency with applications of differential equations and discrete math equations. Dynamic models are used to evaluate load management strategies and to develop computer control algorithms for building energy systems. ,14,108,109
75,ISAT 413, Options for Energy Efficiency,3,"This course makes detailed examination of new technologies to increase the efficiency of energy conversion, transportation systems and end-use technologies. Examples include MHD, combined-cycle systems, advanced nuclear reactors, intelligent transportation systems, high-efficiency lighting, energy management and utilization of low-temperature heat. Consideration is made of the socioeconomic and governmental barriers to energy efficiency. ",14,104,105
76,ISAT 414, Energy Fundamentals II,3,"Introduction to the sciences of fluid mechanics and heat transfer and the physical laws governing the mechanical behavior of liquids and gasses. Conservation of mass, energy and momentum. Discussion of heat transfer by one-dimensional conduction, convection and radiation. Fluid statics, internal and external fluid flow. Pipe networks and heat exchanger analysis. ",14,110,111
77,ISAT 416, International Energy Studies,3,"Study-abroad course examining international energy problems and providing team-oriented project experiences. Addresses energy issues associated with economic and social development. Project participation, tours and meetings with local experts illustrate energy-related problems that are compared with those in the United States. ",14,112,113
78,ISAT 420, Environmental Analysis and Modeling,3,"This course explores applications of mathematical techniques and computer models to the environmental field. The course introduces the principles underlying environmental analysis and modeling, including limitations and pitfalls. Several environmental models and analytical systems are then discussed and applied, using a variety of computational platforms. ",19,144,145
79,ISAT 421, Environmental Policy and Regulation,3,"This course will familiarize students with basic environmental laws and regulations. The course discusses the purpose of environmental policy, the role of environmental economics in policy decisions and the policy instruments available to environmental regulators. Current federal and state statutes affecting waste disposal, air quality and water quality are discussed. ",19,146,147
80,ISAT 422, Industrial Environmental Management,3,"This course addresses environmental issues faced by industry, including such topics as waste management, chemical inventories, pollution prevention and discharge permitting. Industrial ecology is introduced as an approach to the development of a sustainable industrial society, including treatment of life cycle analysis, design for environment, environmentally conscious manufacturing and ISO14000.",19,148,149
81,ISAT 423, Environmental Remediation,3,"This course will examine chemical, physical, economic and regulatory aspects of the remediation of contaminated soil and groundwater. Topics include chemical properties of major contaminants, environmental site assessment, remediation design, and current and emerging remediation technologies and their limitations in soil and groundwater restoration. ",19,150,151
82,ISAT 424, Natural Resource Management,3,"This course focuses on how resource management decisions affect the human and natural communities involved. Topics include definition and importance of natural resources, resource management styles and policies, and planning for resource conservation. Conservation biology is introduced as a tool for developing sustainable resource use policies. Mandatory weekend field trip. ",19,152,153
83,ISAT 425, Environmental Hydrology,3,"This course integrates the study of surface water and ground water hydrology and examines current technologies used to assess the behavior and quality of water in the environment. Topics include monitoring and management at the watershed level, the influence of wetlands on water quality, and the impact of current regulations. ",19,154,155
84,ISAT 426, Environmental Information Systems,3,"This course provides students with practical experience applying advanced environmental informational systems technologies to environmental problems. Students will employ such technologies as decision support systems, geographic information systems, expert systems, relational databases, multimedia systems, and modeling and simulation. This course is often offered in a study-abroad format. ",19,156,157
85,ISAT 427, Industrial Hygiene,3,"This course provides an introductory survey of the field of industrial hygiene. Chemical hazards are addressed first, focusing on respiratory and dermal exposures, followed by a treatment of physical hazards including sound, radiation and temperature. The course includes industrial case studies illustrating administrative and engineering controls in common use.",19,158,159
86,ISAT 428, Industrial Ecology,3,"Industrial ecology, the science of sustainability, seeks to encourage the development of a sustainable industrial society. This course introduces and examines this relatively new field of inquiry and practice. We address various practical topics which are associated with industrial ecology, including life cycle assessment, design for environment and environmentally conscious manufacturing.",19,160,161
87,ISAT/GEOG 429, Sustainability: An Ecological Perspective,3,"This course examines present global environmental impacts and efforts made to change production and consumption patterns toward those that reduce impact on ecosystems or promote increased ecosystems health. The focus lies in understanding the basic resources of productivity including soils, agricultural systems, agroforestry, forestry and aquatic environments and applying solutions on a personal and community level. ",19,162,163
88,ISAT/MATS 430, Materials Science in Manufacturing,3,"This course is the study of engineering materials used in the fabrication of products including metals, polymers, ceramics, composites and elastomers. Topics include physical, mechanical and electrical properties of materials, elements of strength of materials, failure criteria and materials selection.Œæ ",18,122,123
89,ISAT/MATS 431, Manufacturing Processes,3,"This course provides an introduction to the processes used for fabricating parts, such as machining, grinding, and casting and sheet-metal fabrication, including both traditional and nontraditional processes. Topics include interaction of materials, processing and design, economics of manufacturing, design for improved processing. Manufacturing processes for metals, plastics and composites are addressed. Prerequisite:  or permission of the instructor.",18,118,119
90,ISAT/MATS 432, Selection and Use of Engineering Materials,3,"This course deals with the interplay between engineering product specification, design, economics, environment, energy, materials selection, fabrication route, manufacturing cost and product service requirements. Students will be taught how to perform design projects that involve understanding the behavior of materials and selection of materials for a specific function. ",18,124,125
91,ISAT 433, Selected Problems in Manufacturing,3,"This course addresses selected problems in manufacturing and their solutions. Materials, processes and systems will be stressed. Solutions may involve laboratory experiments and/or other analytical tools, such as modeling, system selection and evaluation, and process selection and improvement. Case studies and current projects from industry will be used. ",18,120,121
92,ISAT 435, Integrated Product and Process Development,3,"This courses focuses on the integrated approach for developing products simultaneously with manufacturing processes. Students learn about successful product development techniques and effective organization of product development teams. Topics include design for manufacturing, design for the environment, rapid prototyping, economics of product development and managing of development projects. ",18,126,127
93,ISAT/MATS 436, Micro-Nanofabrication and Applications,3,"This course examines processes used in the manufacture of microelectronic devices (VLSI integrated circuits, optoelectronic devices, flat panel displays), microelectromechanical devices (micromotors, microactuators), data storage media (magnetic and optical disks, including CDs), optical fibers, and some sensors and transducers. Principles of operation of semiconductor and other devices are also studied. ",21,239,240
94,ISAT 440, Seminar in Knowledge Management,3,"Philosophical, ethical, social and political issues in information and knowledge management, the information and knowledge management industries and information and knowledge management systems. ",16,178,179
95,ISAT/CS 447, Interaction Design,3,"Study of and practice with processes, principles, tools, models and techniques for designing interactions between humans and digital products and systems. Topics include physiological and psychological factors affecting interaction design, interaction design processes, interaction models, styles, and paradigms, design notations and representations, prototyping and interaction design evaluation. ",21,241,242
96,ISAT 450, Biotechnology and the Environment,3,"This course will examine the impact of biotechnology on the environment, biotechnology solutions to environmental challenges as well as associated regulatory, ethical and legal issues. Topics include bioremediation, biosensors, release of engineered organisms and risk assessment. ",15,84,85
97,ISAT 451, Biotechnology in Industry and Agriculture,3,"This course illustrates the applications of biotechnology in agriculture and industry, linking scientific discoveries to business and manufacturing practices. Topics include pharmaceutical product development, genetic engineering in agriculture, biotechnology in food processing and regulatory issues. ",15,86,87
98,ISAT 452, Medical Biotechnology,3,"This course will survey the research development and implementation of select biomedical technologies, including genetic-based medical technologies, biomedical diagnostics, bioengineering at the macroscopic and microscopic levels, imaging technologies, lasers in medicine and relevant regulatory and legal issues. ",15,88,89
99,ISAT 453, Energy and Living Systems,3,The potential of living systems as alternative energy sources will be explored by describing energy production and transduction in living systems in the context of current and anticipated applications of biotechnology to energy production. ,15,90,91
100,ISAT 453, Energy and Living Systems,3,The potential of living systems as alternative energy sources will be explored by describing energy production and transduction in living systems in the context of current and anticipated applications of biotechnology to energy production. ,14,114,115
101,ISAT 454, Computer Applications in Biotechnology,3,"Students learn how complex biological molecules support and regulate processes in living systems, through building interactive computer models of protein and nucleic acid structure and function. The course requirements include written and oral presentations and creation of web pages. ",15,92,93
102,ISAT 455, Regulatory Issues in Biotechnology,3,"This course examines the policies and guidelines of federal government agencies that regulate the use of recombinant DNA technology, genetically engineered organisms and the manufacturing of biotechnology products. Issues of product safety, product labeling, physical and biological containment, environmental release, and mammalian cloning are presented.Œæ ",15,94,95
103,ISAT 456," Ethical, Legal and Social Implications of Biotechnology",3,"The ethical, legal and social implications of the field of biotechnology and its applications are explored in this course. Students will analyze at an in-depth level the social impacts and ethical implications of human subjects and biological materials research, cloning, human genetic engineering and transgenic agricultural crops. ",15,96,97
104,ISAT 457, Business of Biotechnology,3,"This course will discuss the business concepts behind the biotechnology industry. Specifically, students will learn how the industry was born, how product concepts arise and develop, how biotech products are developed and marketed, what factors lead to company success and/or failure, and what the role of intellectual property protection and regulatory issues play in the industry. ",21,243,244
105,ISAT/IA 459," Awareness and Understanding of Chemical, Biological and Radiological Weapons of Mass Destruction",3,"This course introduces awareness, science and societal impact of weapons of mass destruction (WMD) agents. Students study the development of vaccines and therapeutic and diagnostic drugs used in the detection and treatment of these agents. The course consists of lectures and safety training sessions that introduce tactical and logistical techniques used against chemical, biological and radiological WMD. ",15,98,99
106,ISAT 460, TCP/IP Networks,3,"An overview of Local Area Network hardware, LAN topology and design, and LAN protocols. Includes installation and management of network operating systems and TCP/IP services (address management, name management, file and print sharing, account management). ",17,182,183
107,ISAT/CS 461, Internetworking,3,"Wide Area Network (WAN) and Metropolitan Area Network (MAN) design. Audio, voice, data and TV transmission over ATM/B-ISDN networks. The SONET signal hierarchy and Q3 standard interface model. Network security. Performance analysis of a given network. ",17,184,185
108,ISAT/CS 462, Network Applications Development,3,"Design and implementation of network-based applications using languages and architectures such as sockets, JAVA, TL1 and CORBA. Concepts in distributed processing, including synchronization of interprocess communication and management of replicated data. Analysis of performance issues related to distributed applications. ",17,188,189
109,ISAT/CS 463, Network Analysis and Design,3,"In-depth introduction to the techniques and tools used to design and analyze computer and telecommunications networks. Overview of issues related to network performance, including the impact on cost, reliability and security. ",17,190,191
110,ISAT/CS 464, Telecommunications in the Public Interest,3,"Examines the role of telecommunications in society, and the social institutions that facilitate and regulate telecom, including an analysis of the industry and the regulatory entities and other institutions that affect it. A primary focus of the course will be on the social values that shape the industry, the economics of the industry, and on the regulation of telecom. ",17,186,187
111,ISAT 465," Wireless Networking, Security and Forensics",3,"An introduction to wireless networking and wireless LAN security and forensics. Radio frequency fundamentals are introduced with emphasis on applications and services. Hands-on network configurations and analysis tools for wireless LAN are introduced and exercised with emphasis on network performance, security and forensic applications. ",17,192,193
112,ISAT 471," Transportation: Energy, Environment and Society",3,"This course provides an overview of transportation's role in energy demand, environmental change and economic development. Domestic and global transportation trends are compared and their impacts on fossil fuel consumption, air pollution, climate, ecosystems and social structure are analyzed. Contemporary technological, policy and behavioral solutions are critically examined with an emphasis on alternative fuels, advanced vehicle architectures and regulatory measures.",19,164,165
113,ISAT 472, Transportation: Air Quality Modeling and Regulation,3,"This course introduces transportation as a CLIOS (complex, large-scale, integrated, open system) that has bi-directional interactions with the social, political and economic aspects of society. Fundamental systems operation principles, institutions and regulations are explored with respect to environmental, energy, economic, land use and developmental issues. Building upon this foundation, students develop an understanding of regional planning and regulatory measures. They gain practical experience utilizing transportation and air quality models to quantify transportation impacts and to compare the effectiveness of various transportation control measures. Prerequisite: Junior standing.",19,168,169
114,ISAT 477, Complex Systems and How They Fail,3,"Interdisciplinary study of complex system operation, interdependencies and failure focusing on real-world critical infrastructure systems (e.g. electric power, telecommunications and health). Systems response to natural and human-induced hazards, including cascading effects. Examination of risk management strategies including technical and policy solutions.",21,245,246
115,ISAT 480, Selected Topics in Integrated Science and Technology,"""1-4""",Topics in integrated science and technology which are of interest to the upper-division student but not otherwise covered in the regular course offerings. Offered only with the approval of the program coordinator. May be repeated for credit when course content changes. Students should consult the instructor prior to enrolling for the course. ,19,166,167
116,ISAT 491, Senior Capstone Project I,1,"First course in a three-course sequence. Student generates an idea for and writes a proposal for an independent or team-based research project. Student must identify and analyze a science- or technology-based problem (broadly defined), identify potential solutions, recommend an approach, and prepare a written proposal.",20,197,198
117,ISAT 492, Senior Capstone Project II,2,"Second course in a three-course sequence. Student performs the bulk of the research needed for an independent research project, either alone or within an investigative team, to address a technologically based problem.",20,199,200
118,ISAT 493, Senior Capstone Project III,3,"Third course in a three-course sequence. Student finishes the research and prepares an oral and a written report on the work (either alone or within an investigative team), addressing a technologically based problem and developing alternative solutions.",20,201,202
119,ISAT 495, Technology in our World: Better by Design,3,"Students explore the importance of design in technology and engineering and contrast the design process with the scientific method. This includes evaluating functional requirements, ergonomics, usability, cost, risk and environmental impact. Students complete a design project integrating these factors to address a real-world problem. ",21,247,248
120,ISAT 499A, Senior Honors Thesis I,1,"First course of a three-course sequence. Student generates an idea for and writes a proposal for an independent research project that meets the requirements set forth by the Honors program. Student must identify and analyze a science- or technology-based problem (broadly defined), identify potential solutions, recommend an approach, and prepare a written proposal. Equivalent to  for ISAT department credit.",20,203,204
121,ISAT 499B, Senior Honors Thesis II,2,Second course in a three-course sequence. Student begins the research necessary for an independent research project that meets the requirements set forth by the Honors program. Student pursues the approach described in his or her proposal from ISAT 499A. Fulfills same requirements as .,20,205,206
122,ISAT 499C, Senior Honors Thesis III,3,Third course in a three-course sequence. Student completes the research for and prepares an oral and written presentation of their results for an independent research project that meets the requirements set forth by the Honors program. Student completes and presents (in written and oral form) the project described in his or her proposal from ISAT 499A. Fulfills same requirements as ISAT 493. - See more at: http://www.jmu.edu/catalog/15/courses/ISAT.shtml#sthash.iajZVWuI.dpuf,20,207,208
